name,lat,lon
Afghanistan,33.9391,67.71
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5462,1.6016
Angola,-11.2027,17.8739
Anguilla,18.2206,-63.0686
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Aruba,12.5211,-69.9683
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahrain,25.9304,50.6378
Bangladesh,23.685,90.3563
Barbados,13.1939,-59.5432
Basque Country,43.0,-2.62
Belarus,53.7098,27.9534
Belgium,50.5039,4.4699
Belize,17.1899,-88.4976
Benin,9.3077,2.3158
Bermuda,32.3214,-64.7574
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Botswana,-22.3285,24.6849
Brazil,-14.235,-51.9253
British Virgin Islands,18.4207,-64.64
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cambodia,12.5657,104.991
Cameroon,7.3697,12.3547
Canada,56.1304,-106.3468
Cape Verde,16.0021,-24.0132
Cayman Islands,19.5135,-80.567
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Chile,-35.6751,-71.543
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Comoros,-11.875,43.8722
Congo,-0.228,15.8277
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cuba,21.5218,-77.7812
Curaçao,12.1696,-68.99
Cyprus,35.1264,33.4299
Czech Republic,49.8175,15.473
DR Congo,-4.0383,21.7587
Denmark,56.2639,9.5018
Djibouti,11.8251,42.5903
Dominica,15.415,-61.371
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
England,52.3555,-1.1743
Equatorial Guinea,1.6508,10.2679
Estonia,58.5953,25.0136
Eswatini,-26.5225,31.4659
Ethiopia,9.145,40.4897
Faroe Islands,61.8926,-6.9118
Fiji,-16.5782,179.4144
Finland,61.9241,25.7482
France,46.2276,2.2137
Gabon,-0.8037,11.6094
Galicia,42.7626,-7.9806
Gambia,13.4432,-15.3101
Georgia,42.3154,43.3569
Germany,51.1657,10.4515
Ghana,7.9465,-1.0232
Gibraltar,36.1377,-5.3454
Greece,39.0742,21.8243
Grenada,12.2628,-61.6042
Guadeloupe,16.996,-62.0676
Guatemala,15.7835,-90.2308
Guinea,9.9456,-9.6966
Guinea-Bissau,11.8037,-15.1804
Guyana,4.8604,-58.9302
Haiti,18.9712,-72.2852
Honduras,15.2,-86.2419
Hong Kong,22.3964,114.1095
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Iran,32.4279,53.688
Iraq,33.2232,43.6793
Israel,31.0461,34.8516
Italy,41.8719,12.5674
Ivory Coast,7.54,-5.5471
Jamaica,18.1096,-77.2975
Japan,36.2048,138.2529
Jordan,30.5852,36.2384
Kazakhstan,48.0196,66.9237
Kenya,-0.0236,37.9062
Kosovo,42.6026,20.903
Kuwait,29.3117,47.4818
Kyrgyzstan,41.2044,74.7661
Laos,19.8563,102.4955
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Lesotho,-29.61,28.2336
Liberia,6.4281,-9.4295
Libya,26.3351,17.2283
Liechtenstein,47.166,9.5554
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Madagascar,-18.7669,46.8691
Malawi,-13.2543,34.3015
Malaysia,4.2105,101.9758
Maldives,3.2028,73.2207
Mali,17.5707,-3.9962
Malta,35.9375,14.3754
Martinique,14.6415,-61.0242
Mauritania,21.0079,-10.9408
Mauritius,-20.3484,57.5522
